SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43671 child=39971 window=2016 surface=148740311
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=pool
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204111-surface-ca-pool-94f68ad825/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=32 allocation_ms=0.000 memcpy_ms=2.220 image_ms=0.013 transaction_ms=0.083 render_ms=14.618 flush_ms=3.602 total_ms=20.549
SURFACE FRAME id=33 allocation_ms=0.000 memcpy_ms=2.113 image_ms=0.011 transaction_ms=0.073 render_ms=15.114 flush_ms=3.863 total_ms=21.197
SURFACE FRAME id=34 allocation_ms=0.002 memcpy_ms=2.643 image_ms=0.010 transaction_ms=0.075 render_ms=15.072 flush_ms=3.706 total_ms=21.530
SURFACE FRAME id=35 allocation_ms=0.001 memcpy_ms=2.195 image_ms=0.011 transaction_ms=0.076 render_ms=14.822 flush_ms=3.760 total_ms=20.879
SURFACE FRAME id=36 allocation_ms=0.001 memcpy_ms=2.143 image_ms=0.010 transaction_ms=0.074 render_ms=14.663 flush_ms=3.588 total_ms=20.491
SURFACE FRAME id=37 allocation_ms=0.001 memcpy_ms=2.295 image_ms=0.012 transaction_ms=0.100 render_ms=15.452 flush_ms=4.099 total_ms=21.971
SURFACE FRAME id=38 allocation_ms=0.001 memcpy_ms=2.115 image_ms=0.011 transaction_ms=0.075 render_ms=14.577 flush_ms=3.763 total_ms=20.554
SURFACE FRAME id=39 allocation_ms=0.001 memcpy_ms=2.244 image_ms=0.011 transaction_ms=0.074 render_ms=15.264 flush_ms=4.108 total_ms=21.713
SURFACE FRAME id=40 allocation_ms=0.000 memcpy_ms=2.188 image_ms=0.012 transaction_ms=0.078 render_ms=14.589 flush_ms=3.699 total_ms=20.579
SURFACE FRAME id=41 allocation_ms=0.001 memcpy_ms=3.527 image_ms=0.012 transaction_ms=0.075 render_ms=14.818 flush_ms=3.780 total_ms=22.225
SURFACE FRAME id=42 allocation_ms=0.000 memcpy_ms=2.080 image_ms=0.011 transaction_ms=0.076 render_ms=15.021 flush_ms=3.691 total_ms=20.892
SURFACE FRAME id=43 allocation_ms=0.001 memcpy_ms=2.080 image_ms=0.011 transaction_ms=0.074 render_ms=14.785 flush_ms=5.073 total_ms=22.037
SURFACE FRAME id=44 allocation_ms=0.001 memcpy_ms=2.128 image_ms=0.013 transaction_ms=0.077 render_ms=15.527 flush_ms=3.774 total_ms=21.541
SURFACE FRAME id=45 allocation_ms=0.001 memcpy_ms=2.580 image_ms=0.010 transaction_ms=0.075 render_ms=14.792 flush_ms=3.725 total_ms=21.205
SURFACE FRAME id=46 allocation_ms=0.001 memcpy_ms=2.285 image_ms=0.009 transaction_ms=0.071 render_ms=14.769 flush_ms=3.791 total_ms=20.940
SURFACE FRAME id=47 allocation_ms=0.001 memcpy_ms=2.135 image_ms=0.009 transaction_ms=0.074 render_ms=14.721 flush_ms=3.608 total_ms=20.563
SURFACE FRAME id=48 allocation_ms=0.001 memcpy_ms=2.318 image_ms=0.010 transaction_ms=0.072 render_ms=15.626 flush_ms=3.869 total_ms=21.910
SURFACE FRAME id=49 allocation_ms=0.001 memcpy_ms=2.094 image_ms=0.010 transaction_ms=0.075 render_ms=15.477 flush_ms=3.755 total_ms=21.426
SURFACE FRAME id=50 allocation_ms=0.000 memcpy_ms=2.204 image_ms=0.012 transaction_ms=0.076 render_ms=14.706 flush_ms=3.777 total_ms=20.787
SURFACE FRAME id=51 allocation_ms=0.000 memcpy_ms=2.087 image_ms=0.012 transaction_ms=0.073 render_ms=15.899 flush_ms=3.820 total_ms=21.904
SURFACE FRAME id=52 allocation_ms=0.000 memcpy_ms=3.433 image_ms=0.010 transaction_ms=0.075 render_ms=15.134 flush_ms=3.774 total_ms=22.438
SURFACE FRAME id=53 allocation_ms=0.000 memcpy_ms=2.141 image_ms=0.010 transaction_ms=0.200 render_ms=14.690 flush_ms=3.798 total_ms=20.852
SURFACE FRAME id=54 allocation_ms=0.001 memcpy_ms=2.098 image_ms=0.010 transaction_ms=0.072 render_ms=16.718 flush_ms=3.720 total_ms=22.633
SURFACE FRAME id=55 allocation_ms=0.001 memcpy_ms=3.539 image_ms=0.012 transaction_ms=0.078 render_ms=14.902 flush_ms=3.744 total_ms=22.289
SURFACE FRAME id=56 allocation_ms=0.000 memcpy_ms=2.184 image_ms=0.013 transaction_ms=0.075 render_ms=14.648 flush_ms=3.699 total_ms=20.632
SURFACE FRAME id=57 allocation_ms=0.000 memcpy_ms=2.090 image_ms=0.011 transaction_ms=0.074 render_ms=15.063 flush_ms=5.169 total_ms=22.420
SURFACE FRAME id=58 allocation_ms=0.001 memcpy_ms=2.257 image_ms=0.013 transaction_ms=0.077 render_ms=15.242 flush_ms=3.871 total_ms=21.481
SURFACE FRAME id=59 allocation_ms=0.001 memcpy_ms=2.742 image_ms=0.011 transaction_ms=0.073 render_ms=14.842 flush_ms=3.762 total_ms=21.453
SURFACE FRAME id=60 allocation_ms=0.001 memcpy_ms=2.400 image_ms=0.010 transaction_ms=0.074 render_ms=15.050 flush_ms=3.782 total_ms=21.328
SURFACE FRAME id=61 allocation_ms=0.001 memcpy_ms=2.152 image_ms=0.010 transaction_ms=0.075 render_ms=14.992 flush_ms=3.878 total_ms=21.121
SURFACE FRAME id=62 allocation_ms=0.000 memcpy_ms=3.564 image_ms=0.012 transaction_ms=0.077 render_ms=14.771 flush_ms=3.795 total_ms=22.232
SURFACE FRAME id=63 allocation_ms=0.001 memcpy_ms=2.089 image_ms=0.010 transaction_ms=0.076 render_ms=14.964 flush_ms=3.812 total_ms=20.964
SURFACE FRAME id=64 allocation_ms=0.001 memcpy_ms=2.090 image_ms=0.010 transaction_ms=0.072 render_ms=16.433 flush_ms=3.688 total_ms=22.308
SURFACE FRAME id=65 allocation_ms=0.002 memcpy_ms=2.088 image_ms=0.011 transaction_ms=0.079 render_ms=15.132 flush_ms=3.768 total_ms=21.098
SURFACE FRAME id=66 allocation_ms=0.002 memcpy_ms=2.095 image_ms=0.013 transaction_ms=0.080 render_ms=14.909 flush_ms=3.741 total_ms=21.009
SURFACE FRAME id=67 allocation_ms=0.002 memcpy_ms=2.132 image_ms=0.011 transaction_ms=0.078 render_ms=14.921 flush_ms=3.881 total_ms=21.042
