SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43667 child=39967 window=2015 surface=147787958
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=malloc
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204030-surface-ca-malloc-dc42a1c31b/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=32 allocation_ms=0.021 memcpy_ms=11.320 image_ms=0.013 transaction_ms=0.079 render_ms=14.414 flush_ms=3.760 total_ms=29.619
SURFACE FRAME id=33 allocation_ms=0.025 memcpy_ms=11.246 image_ms=0.013 transaction_ms=0.079 render_ms=15.754 flush_ms=3.795 total_ms=30.923
SURFACE FRAME id=34 allocation_ms=0.023 memcpy_ms=12.024 image_ms=0.013 transaction_ms=0.078 render_ms=14.801 flush_ms=3.749 total_ms=30.700
SURFACE FRAME id=35 allocation_ms=0.021 memcpy_ms=10.851 image_ms=0.013 transaction_ms=0.078 render_ms=14.808 flush_ms=3.793 total_ms=29.578
SURFACE FRAME id=36 allocation_ms=0.024 memcpy_ms=11.275 image_ms=0.013 transaction_ms=0.077 render_ms=14.419 flush_ms=3.790 total_ms=29.612
SURFACE FRAME id=37 allocation_ms=0.022 memcpy_ms=11.274 image_ms=0.013 transaction_ms=0.078 render_ms=14.535 flush_ms=3.841 total_ms=29.776
SURFACE FRAME id=38 allocation_ms=0.021 memcpy_ms=11.116 image_ms=0.012 transaction_ms=0.076 render_ms=14.743 flush_ms=3.696 total_ms=29.677
SURFACE FRAME id=39 allocation_ms=0.023 memcpy_ms=10.694 image_ms=0.012 transaction_ms=0.081 render_ms=15.173 flush_ms=4.107 total_ms=30.102
SURFACE FRAME id=40 allocation_ms=0.022 memcpy_ms=11.067 image_ms=0.011 transaction_ms=0.076 render_ms=14.405 flush_ms=3.741 total_ms=29.336
SURFACE FRAME id=41 allocation_ms=0.022 memcpy_ms=11.275 image_ms=0.012 transaction_ms=0.077 render_ms=14.596 flush_ms=4.143 total_ms=30.139
SURFACE FRAME id=42 allocation_ms=0.027 memcpy_ms=11.466 image_ms=0.014 transaction_ms=0.078 render_ms=15.350 flush_ms=3.725 total_ms=30.673
SURFACE FRAME id=43 allocation_ms=0.022 memcpy_ms=10.771 image_ms=0.014 transaction_ms=0.078 render_ms=14.599 flush_ms=3.776 total_ms=29.273
SURFACE FRAME id=44 allocation_ms=0.022 memcpy_ms=11.026 image_ms=0.013 transaction_ms=0.077 render_ms=14.537 flush_ms=3.713 total_ms=29.400
SURFACE FRAME id=45 allocation_ms=0.025 memcpy_ms=11.160 image_ms=0.012 transaction_ms=0.079 render_ms=14.650 flush_ms=3.855 total_ms=29.794
SURFACE FRAME id=46 allocation_ms=0.022 memcpy_ms=11.126 image_ms=0.012 transaction_ms=0.078 render_ms=15.398 flush_ms=3.772 total_ms=30.422
SURFACE FRAME id=47 allocation_ms=0.022 memcpy_ms=10.886 image_ms=0.013 transaction_ms=0.078 render_ms=15.276 flush_ms=3.788 total_ms=30.076
SURFACE FRAME id=48 allocation_ms=0.024 memcpy_ms=11.070 image_ms=0.013 transaction_ms=0.077 render_ms=14.232 flush_ms=3.805 total_ms=29.235
SURFACE FRAME id=49 allocation_ms=0.023 memcpy_ms=11.496 image_ms=0.013 transaction_ms=0.076 render_ms=14.628 flush_ms=4.277 total_ms=30.527
SURFACE FRAME id=50 allocation_ms=0.022 memcpy_ms=11.001 image_ms=0.012 transaction_ms=0.078 render_ms=14.756 flush_ms=3.772 total_ms=29.653
SURFACE FRAME id=51 allocation_ms=0.023 memcpy_ms=10.660 image_ms=0.012 transaction_ms=0.076 render_ms=14.687 flush_ms=3.772 total_ms=29.243
SURFACE FRAME id=52 allocation_ms=0.021 memcpy_ms=11.165 image_ms=0.013 transaction_ms=0.078 render_ms=14.798 flush_ms=3.702 total_ms=29.791
SURFACE FRAME id=53 allocation_ms=0.021 memcpy_ms=11.186 image_ms=0.013 transaction_ms=0.077 render_ms=14.475 flush_ms=3.787 total_ms=29.572
SURFACE FRAME id=54 allocation_ms=0.024 memcpy_ms=11.121 image_ms=0.012 transaction_ms=0.078 render_ms=15.627 flush_ms=3.779 total_ms=30.654
SURFACE FRAME id=55 allocation_ms=0.022 memcpy_ms=11.078 image_ms=0.014 transaction_ms=0.203 render_ms=14.356 flush_ms=3.812 total_ms=29.497
SURFACE FRAME id=56 allocation_ms=0.021 memcpy_ms=11.085 image_ms=0.013 transaction_ms=0.079 render_ms=14.647 flush_ms=3.737 total_ms=29.596
SURFACE FRAME id=57 allocation_ms=0.025 memcpy_ms=12.387 image_ms=0.013 transaction_ms=0.078 render_ms=16.351 flush_ms=4.544 total_ms=33.410
SURFACE FRAME id=58 allocation_ms=0.021 memcpy_ms=11.905 image_ms=0.011 transaction_ms=0.080 render_ms=15.397 flush_ms=3.899 total_ms=31.326
SURFACE FRAME id=59 allocation_ms=0.024 memcpy_ms=11.741 image_ms=0.011 transaction_ms=0.077 render_ms=14.271 flush_ms=3.746 total_ms=29.884
SURFACE FRAME id=60 allocation_ms=0.026 memcpy_ms=11.659 image_ms=0.011 transaction_ms=0.076 render_ms=14.194 flush_ms=3.723 total_ms=29.703
SURFACE FRAME id=61 allocation_ms=0.021 memcpy_ms=10.780 image_ms=0.013 transaction_ms=0.079 render_ms=14.517 flush_ms=3.702 total_ms=29.126
SURFACE FRAME id=62 allocation_ms=0.022 memcpy_ms=10.761 image_ms=0.013 transaction_ms=0.078 render_ms=15.220 flush_ms=3.706 total_ms=29.815
SURFACE FRAME id=63 allocation_ms=0.024 memcpy_ms=11.091 image_ms=0.013 transaction_ms=0.080 render_ms=14.515 flush_ms=3.800 total_ms=29.535
SURFACE FRAME id=64 allocation_ms=0.022 memcpy_ms=11.065 image_ms=0.013 transaction_ms=0.078 render_ms=14.810 flush_ms=3.755 total_ms=29.756
SURFACE FRAME id=65 allocation_ms=0.021 memcpy_ms=11.960 image_ms=0.014 transaction_ms=0.077 render_ms=14.808 flush_ms=3.770 total_ms=30.663
SURFACE FRAME id=66 allocation_ms=0.023 memcpy_ms=11.123 image_ms=0.014 transaction_ms=0.078 render_ms=14.322 flush_ms=3.866 total_ms=29.438
SURFACE FRAME id=67 allocation_ms=0.023 memcpy_ms=11.234 image_ms=0.013 transaction_ms=0.077 render_ms=14.576 flush_ms=3.873 total_ms=29.809
SURFACE FRAME id=68 allocation_ms=0.023 memcpy_ms=11.005 image_ms=0.013 transaction_ms=0.077 render_ms=14.315 flush_ms=3.828 total_ms=29.272
SURFACE FRAME id=69 allocation_ms=0.024 memcpy_ms=10.837 image_ms=0.012 transaction_ms=0.075 render_ms=14.552 flush_ms=3.735 total_ms=29.253
SURFACE FRAME id=70 allocation_ms=0.023 memcpy_ms=11.137 image_ms=0.011 transaction_ms=0.074 render_ms=15.208 flush_ms=3.720 total_ms=30.187
SURFACE FRAME id=71 allocation_ms=0.022 memcpy_ms=10.706 image_ms=0.012 transaction_ms=0.078 render_ms=14.626 flush_ms=3.746 total_ms=29.203
SURFACE FRAME id=72 allocation_ms=0.026 memcpy_ms=11.036 image_ms=0.013 transaction_ms=0.081 render_ms=14.593 flush_ms=3.762 total_ms=29.522
SURFACE FRAME id=73 allocation_ms=0.021 memcpy_ms=11.309 image_ms=0.013 transaction_ms=0.079 render_ms=14.347 flush_ms=3.760 total_ms=29.542
SURFACE FRAME id=74 allocation_ms=0.022 memcpy_ms=11.101 image_ms=0.014 transaction_ms=0.080 render_ms=14.433 flush_ms=3.978 total_ms=29.639
SURFACE FRAME id=75 allocation_ms=0.025 memcpy_ms=11.216 image_ms=0.012 transaction_ms=0.087 render_ms=15.701 flush_ms=3.752 total_ms=30.806
SURFACE FRAME id=76 allocation_ms=0.022 memcpy_ms=11.178 image_ms=0.014 transaction_ms=0.081 render_ms=14.371 flush_ms=3.734 total_ms=29.414
SURFACE FRAME id=77 allocation_ms=0.023 memcpy_ms=10.862 image_ms=0.013 transaction_ms=0.077 render_ms=14.518 flush_ms=3.732 total_ms=29.238
SURFACE FRAME id=78 allocation_ms=0.024 memcpy_ms=11.494 image_ms=0.013 transaction_ms=0.076 render_ms=14.726 flush_ms=3.868 total_ms=30.213
SURFACE FRAME id=79 allocation_ms=0.022 memcpy_ms=10.934 image_ms=0.013 transaction_ms=0.076 render_ms=14.575 flush_ms=3.770 total_ms=29.402
SURFACE FRAME id=80 allocation_ms=0.021 memcpy_ms=11.121 image_ms=0.012 transaction_ms=0.076 render_ms=14.529 flush_ms=3.698 total_ms=29.470
SURFACE FRAME id=81 allocation_ms=0.024 memcpy_ms=11.352 image_ms=0.010 transaction_ms=0.077 render_ms=14.599 flush_ms=3.794 total_ms=29.871
